,Nationality,Title,Artist,BeginDate,EndDate,Gender,Date,Department
0,American,Dress MacLeod from Tartan Sets,Sarah Charlesworth,1947.0,2013.0,Female,1986,Prints & Illustrated Books
1,Spanish,"Duplicate of plate from folio 11 verso (supplementary suite, plate 4) from ARDICIA",Pablo Palazuelo,1916.0,2007.0,Male,1978,Prints & Illustrated Books
2,French,Tailpiece (page 55) from SAGESSE,Maurice Denis,1870.0,1943.0,Male,1900,Prints & Illustrated Books
3,French,"Headpiece (page 129) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,1861.0,1944.0,Male,1934,Prints & Illustrated Books
4,French,97 rue du Bac,Eugène Atget,1857.0,1927.0,Male,1903,Photography
5,American,Pictorial ornament (folio 11) from WOODCUTS,Antonio Frasconi,1919.0,2013.0,Male,1957,Prints & Illustrated Books
6,French,Rue de l'Hôtel-de-Ville,Eugène Atget,1857.0,1927.0,Male,1924,Photography
7,American,Los Angeles Airport,Garry Winogrand,1928.0,1984.0,Male,1980,Photography
8,South African,Why Defy from Disasters of Peace,Diane Victor,1964.0,,Female,2001,Prints & Illustrated Books
9,Canadian,STILL WATER AND FISH,David Brown Milne,1882.0,1953.0,Male,1941,Prints & Illustrated Books
10,French,In-text plate (folio 11) from LA MÉTROMANIE,Jean Dubuffet,1901.0,1985.0,Male,1950,Prints & Illustrated Books
11,American,Black Bathroom,Jim Dine,1935.0,,Male,1963,Prints & Illustrated Books
12,Czech,In-text plate (page 108) from LYSISTRATA,František Kupka,1871.0,1957.0,Male,1910,Prints & Illustrated Books
13,American,Transcendence. Designs for the Ballet,Franklin Chenault Watkins,1894.0,1972.0,Male,1934,Drawings
14,American,Untitled,Christopher Wool,1955.0,,Male,1997,Prints & Illustrated Books
15,American,Isadora Duncan,Abraham Walkowitz,1878.0,1965.0,Male,1932,Drawings
16,Belgian,L'Avenir de la Propriété,Pierre Alechinsky,1927.0,,Male,1972,Prints & Illustrated Books
17,American,Arundel Castle from Black Series I,Frank Stella,1936.0,,Male,1967,Prints & Illustrated Books
18,American,"Block fragments from the Samuel Freeman House, Los Angeles, CA",Frank Lloyd Wright,1867.0,1959.0,Male,1924,Architecture & Design
19,Spanish,Plate (folio 35) from ACORDE,Vicente Rojo,1932.0,,Male,1979,Prints & Illustrated Books
20,American,"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1926,Architecture & Design
21,Russian,"SA. Sovremennaia Arkhitektura (CA. Contemporary Architecture), no. 5",Varvara Stepanova,1894.0,1958.0,Female,1929,Prints & Illustrated Books
22,American,Untitled,Richard Serra,1938.0,,Male,1972,Drawings
23,French,Research on the Origin,Robert Filliou,1926.0,1987.0,Male,1974,Prints & Illustrated Books
24,French,Plate (folio 17) from KAFKA,Roger Chancel,1898.0,1976.0,Male,1957,Prints & Illustrated Books
25,French,Tailpiece (page 35) from SAINTE MONIQUE,Pierre Bonnard,1867.0,1947.0,Male,1925,Prints & Illustrated Books
26,British,Bowl,Jacqueline Poncelet,1947.0,,Female,1974,Architecture & Design
27,French,Tailpiece (folio 42 verso) from LES AMOURS,Émile Bernard,1868.0,1941.0,Male,1915,Prints & Illustrated Books
28,French,Tuileries (vase),Eugène Atget,1857.0,1927.0,Male,1912,Photography
29,German,Plate 23 (folio 25) from MALELADE,Georg Baselitz,1938.0,,Male,1989,Prints & Illustrated Books
30,Belgian,"Duplicate of plate from folio 104 (supplementary suite, plate 95) from LA VILLE",Frans Masereel,1889.0,1972.0,Male,1925,Prints & Illustrated Books
31,,Untitled,Unknown,,,Gender Unknown,1925,Photography
32,American,"Plate (folio 28) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,1928.0,2007.0,Male,1980,Prints & Illustrated Books
33,American,Chamber Music,James Tenney,1934.0,2006.0,Male,1964,Prints & Illustrated Books
34,American,Plate (following folio V) from NOTES,Claes Oldenburg,1929.0,,Male,1968,Prints & Illustrated Books
35,Swiss,Chocolate Object (Schokolade-Objekt),Dieter Roth,1930.0,1998.0,Male,1969,Prints & Illustrated Books
36,,Mandry Ven'iamyna Tret'oho,Moisei Fradkin,,,Male,1934,Prints & Illustrated Books
37,American,Dust jacket front (duplicate of folder front) from 2 POEMAS,Antonio Frasconi,1919.0,2013.0,Male,1953,Prints & Illustrated Books
38,American,Fun City from Fun City,Richard Lindner,1901.0,1978.0,Male,1971,Prints & Illustrated Books
39,Polish,Angels from Witebsk,Wojciech Prazmowski,1949.0,,Male,1988,Photography
40,British,Tailpiece (page 62) from FABLES,Thomas Bewick,1753.0,1828.0,Male,1818,Prints & Illustrated Books
41,American,Untitled,Spencer Sweeney,1973.0,,Male,2002,Drawings
42,American,Variety,Batiste Madalena,1902.0,1988.0,Male,1926,Film
43,Belgian,Stars and Disasters (Astres et Désastres),Pierre Alechinsky,1927.0,,Male,1969,Prints & Illustrated Books
44,American,"U.S. Embassy Building, Tokyo Project (Aerial perspective)",Frank Lloyd Wright,1867.0,1959.0,Male,1914,Architecture & Design
45,Japanese,"Tuesday, Dec. 18, 1979",On Kawara,1933.0,,Male,1979,Painting & Sculpture
46,American,"Bank by Andy Warhol. Gaudy Savings by RCA Color Scanner. Pretty as a Pigture, Huh?",Andy Warhol,1928.0,1987.0,Male,1968,Architecture & Design
47,American,"Pittsburgh, Pennsylvania",Lee Friedlander,1934.0,,Male,1979,Photography
48,Spanish,Double page plate (between pages 96 and 97) from UBU ROI,Joan Miró,1893.0,1983.0,Male,1966,Prints & Illustrated Books
49,American,"Unity Temple, Oak Park, IL",Frank Lloyd Wright,1867.0,1959.0,Male,1904,Architecture & Design
50,French,PORTRAITS DE CHOPIN,Marc Chagall,1887.0,1985.0,Male,1949,Prints & Illustrated Books
51,American,The Razorback Bunch (Etching III),Robert Rauschenberg,1925.0,2008.0,Male,1981,Prints & Illustrated Books
52,American,Identity Transfer from Program One: Aspen Projects,Dennis Oppenheim,1938.0,2011.0,Male,1970,Media and Performance Art
53,American,Lipstick (Ascending) on Caterpillar Track,Claes Oldenburg,1929.0,,Male,1969,Prints & Illustrated Books
54,American,"""1 PERSON/1 PLACE"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET",Richard Nonas,1936.0,,Male,1972,Prints & Illustrated Books
55,French,Bagatelle,Eugène Atget,1857.0,1927.0,Male,1924,Photography
56,American,The Barbie Doll Drawings #27,Adrian Piper,1948.0,,Female,1967,Drawings
57,American,"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1932,Architecture & Design
58,French,Plate (page 209) from LES PETITES FLEURS,Émile Bernard,1868.0,1941.0,Male,1928,Prints & Illustrated Books
59,American,"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",George Maciunas,1931.0,1978.0,Male,1965,Prints & Illustrated Books
60,American,Untitled,Louise Bourgeois,1911.0,2010.0,Female,2003,Prints & Illustrated Books
61,Portuguese,"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Álvaro Siza,1933.0,,Male,1972,Architecture & Design
62,American,Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Ellen Phelan,1943.0,,Female,1983,Drawings
63,American,"Golf Club Project, Krefeld, Germany",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1930,Architecture & Design
64,Austrian,Stamp Box,Josef Hoffmann,1870.0,1956.0,Male,1946,Architecture & Design
65,Swiss,"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,1943.0,,Male,1984,Architecture & Design
66,German,Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,1954.0,,Male,2006,Prints & Illustrated Books
67,American,"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,1843.0,1908.0,Male,1885,Photography
68,American,"Apollon Musagete, design for Scenery",Pavel Tchelitchew,1898.0,1957.0,Male,1942,Drawings
69,French,LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Eugène Atget,1857.0,1927.0,Male,1913,Photography
70,British,Scroll Down and Keep Scrolling,Fiona Banner,1966.0,,Female,2015,Prints & Illustrated Books
71,American,"""Untitled""",Felix Gonzalez-Torres,1957.0,1996.0,Male,1987,Painting & Sculpture
72,French,Plate (page 89) from L'ÉVANGILE,Léo Marchutz,1903.0,1976.0,Male,1948,Prints & Illustrated Books
73,American,Pleasures and Terrors of Levitation 50,Aaron Siskind,1903.0,1991.0,Male,1965,Photography
74,British,Tailpiece (page 44) from FABLES,Thomas Bewick,1753.0,1828.0,Male,1818,Prints & Illustrated Books
75,German,"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Helmut A. P. Grieshaber,1909.0,1981.0,Male,1961,Prints & Illustrated Books
76,French,RUES LANNEAU ET DES CARMES,Eugène Atget,1857.0,1927.0,Male,1925,Photography
77,French,Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,1871.0,1958.0,Male,1924,Prints & Illustrated Books
78,Australian,"Landscape Triptych No. 1, State IV/IV",Fred Williams,1927.0,1982.0,Male,1962,Prints & Illustrated Books
79,American,"Mr. Bennett, Vermont",Paul Strand,1890.0,1976.0,Male,1944,Photography
80,French,Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,1883.0,1956.0,Female,1930,Prints & Illustrated Books
81,Spanish,C.N.T. from the portfolio Color Guard Etcetera,Juan Hidalgo,1927.0,,Male,1991,Prints & Illustrated Books
82,German,"Untitled. (portrait of man with dark glasses, Heino?)",Michael Schmidt,1945.0,2014.0,Male,1992,Photography
83,American,Fortune,Kiki Smith,1954.0,,Female,2008,Prints & Illustrated Books
84,American,"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,1947.0,,Male,1975,Photography
85,French,Cover for Old Stories (Les Vieilles Histoires),Henri de Toulouse-Lautrec,1864.0,1901.0,Male,1893,Prints & Illustrated Books
86,American,Untitled,Willem de Kooning,1904.0,1997.0,Male,1966,Drawings
87,American,"Double page plate (folios 14 and 15) from AMISH, Volume II",Stephen White,1948.0,,Male,1968,Prints & Illustrated Books
88,American,Are You Rea #17,Robert Heinecken,1931.0,2006.0,Male,1966,Photography
89,French,Headpiece (page 93) from PASSION,Georges Rouault,1871.0,1958.0,Male,1934,Prints & Illustrated Books
90,Italian,Bar Tools,Studio Opi,1955.0,,Gender Unknown,1969,Architecture & Design
91,American,Multi-use Rocker Prototype,Frederick Kiesler,1890.0,1965.0,Male,1942,Architecture & Design
